name,nachname,email,alter,contract_type,abschlag,durchschnittVerbrauch,basisBetrag,,kWhPreis
Becker,Mia,michael.lena@domain.com,20,GAS,125.45,2258.34,8.06,0.36
Becker,Mia,michael.lena@domain.com,20,GAS,75.29,1052.68,16.25,0.49
Müller,Zimmermann,wolfgang.zimmermann@example.com,25,GAS,165.1,1962.16,21.81,0.3
Michael,Laura,wolfgang.zimmermann@domain.com,26,STROM,92.5,2751.85,11.41,0.3
Michael,Laura,wolfgang.zimmermann@domain.com,26,GAS,30.76,4355.9,5.07,0.47
Peter,Emma,fischer.krüger@example.com,36,GAS,101.4,2631.89,42.46,0.26
Michael,Sophie,daniel.lena@test.com,90,GAS,198.84,3577.07,13.05,0.33
Michael,Sophie,daniel.lena@test.com,90,GAS,129.05,4681.54,17.52,0.48
Michael,Sophie,daniel.lena@test.com,90,GAS,46.5,1465.79,32.39,0.5
Wagner,Zimmermann,schulz.krüger@test.com,31,GAS,124.85,1388.44,21.92,0.35
Wagner,Zimmermann,schulz.krüger@test.com,31,GAS,164.35,3595.84,18.25,0.38
Daniel,Krüger,hoffmann.sophie@test.com,60,GAS,163.79,2053.31,20.36,0.23
Daniel,Krüger,hoffmann.sophie@test.com,60,STROM,197.43,1921.28,38.46,0.28
Schmidt,Laura,hoffmann.marie@domain.com,34,GAS,116.04,1851.46,44.8,0.41
Schmidt,Laura,hoffmann.marie@domain.com,34,GAS,105.46,1560.59,49.93,0.24
Schmidt,Laura,hoffmann.marie@domain.com,34,STROM,105.59,3312.39,11.01,0.32
Michael,Emma,schulz.julia@domain.com,82,GAS,57.9,4073.33,9.31,0.47
Michael,Emma,schulz.julia@domain.com,82,GAS,99.46,2129.32,26.62,0.38
Michael,Emma,schulz.julia@domain.com,82,STROM,179.83,3466.31,17.47,0.26
Klaus,Marie,sarah.lenz@test.com,62,STROM,164.73,1303.4,41.53,0.25
Hoffmann,Klein,christine.krüger@domain.com,73,STROM,114.48,4799.97,5.31,0.38
Hoffmann,Klein,christine.krüger@domain.com,73,GAS,168.74,2385.16,40.28,0.34
Hoffmann,Klein,christine.krüger@domain.com,73,GAS,193.19,2301.03,49.24,0.25
Christine,Emma,,62,GAS,27.2,2459.38,36.39,0.36
Christine,Emma,,62,STROM,148.19,3357.61,49.59,0.47
Daniel,Zimmermann,daniel.lena@domain.com,30,GAS,126.56,1962.54,15.55,0.3
Daniel,Zimmermann,daniel.lena@domain.com,30,GAS,75.64,3217.68,24.45,0.37
Daniel,Zimmermann,daniel.lena@domain.com,30,STROM,80.01,3426.47,30.83,0.26
Hoffmann,Böhm,sarah.anna@domain.com,74,GAS,33.4,4604.84,38.53,0.34
Hoffmann,Böhm,sarah.anna@domain.com,74,STROM,153.46,2734.11,5.72,0.48
Wagner,Mia,schneider.böhm@domain.com,71,STROM,194.05,3286.14,43.48,0.33
Peter,Krüger,schulz.lisa@example.com,36,STROM,146.41,3846.74,18.75,0.45
Wolfgang,Julia,schulz.schröder@example.com,18,GAS,38.89,1770.58,17.09,0.4
Wolfgang,Julia,schulz.schröder@example.com,18,GAS,136.48,1359.04,17.79,0.35
Peter,Emma,,24,STROM,117.14,4852.32,24.94,0.42
Peter,Emma,,24,GAS,188.94,4145.71,22.23,0.26
Peter,Emma,,24,GAS,143.99,4889.5,33.43,0.31
Wolfgang,Maier,weber.mia@test.com,22,STROM,91.25,4148.9,22.46,0.47
Wolfgang,Maier,weber.mia@test.com,22,STROM,98.19,4360.3,22.32,0.27
Schmidt,Klein,meyer.böhm@test.com,88,STROM,88.85,2791.36,46.48,0.44
Schmidt,Klein,meyer.böhm@test.com,88,GAS,120.89,3267.5,17.85,0.26
Meyer,Maier,,66,GAS,137.7,4128.06,38.93,0.33
Meyer,Maier,,66,GAS,40.59,2545.53,47.36,0.35
Meyer,Maier,,66,STROM,38.81,3306.47,44.98,0.31
Michael,Lena,schulz.neumann@domain.com,51,STROM,91.56,3486.7,48.8,0.34
Michael,Lena,schulz.neumann@domain.com,51,GAS,92.09,2921.03,42.36,0.49
Michael,Lena,schulz.neumann@domain.com,51,GAS,108.3,2504.57,45.63,0.3
Müller,Laura,peter.zimmermann@test.com,83,GAS,32.66,3659.23,39.5,0.47
Müller,Laura,peter.zimmermann@test.com,83,STROM,87.19,4841.12,47.38,0.24
Müller,Laura,peter.zimmermann@test.com,83,STROM,81.44,3436.91,11.66,0.22
Müller,Zimmermann,klaus.krüger@domain.com,57,STROM,63.11,1450.18,13.27,0.35
Müller,Zimmermann,klaus.krüger@domain.com,57,GAS,44.77,3113.75,7.97,0.33
Fischer,Lisa,peter.laura@domain.com,21,STROM,117.17,3616.33,15.58,0.38
Fischer,Lisa,peter.laura@domain.com,21,GAS,194.86,2412.67,34.65,0.34
Müller,Mia,christine.laura@domain.com,73,GAS,125.9,2902.5,35.85,0.22
Müller,Mia,christine.laura@domain.com,73,GAS,170.8,4918.96,12.36,0.5
Weber,Zimmermann,weber.lenz@test.com,88,STROM,31.19,4332.49,32.68,0.35
Weber,Zimmermann,weber.lenz@test.com,88,STROM,149.91,1471.14,21.2,0.22
Weber,Zimmermann,weber.lenz@test.com,88,STROM,65.58,2792.87,5.71,0.31
Müller,Schröder,wolfgang.lena@test.com,23,STROM,159.65,4669.08,45.25,0.32
Müller,Schröder,wolfgang.lena@test.com,23,GAS,90.23,1961.74,17.0,0.22
Müller,Schröder,wolfgang.lena@test.com,23,GAS,144.94,4336.55,18.94,0.4
Michael,Laura,schneider.neumann@test.com,63,STROM,124.21,2229.02,39.18,0.4
Meyer,Emma,klaus.zimmermann@domain.com,62,GAS,27.04,3492.04,13.52,0.3
Meyer,Emma,klaus.zimmermann@domain.com,62,STROM,143.48,4649.38,30.67,0.46
Andreas,Marie,müller.schröder@test.com,27,GAS,102.53,3619.14,9.31,0.22
Hoffmann,Lisa,andreas.lenz@example.com,30,STROM,67.55,3129.85,43.08,0.37
Daniel,Sophie,schneider.walter@domain.com,41,GAS,59.93,2596.18,43.18,0.45
Daniel,Sophie,schneider.walter@domain.com,41,GAS,75.4,1324.17,24.81,0.45
Klaus,Maier,schulz.neumann@test.com,69,STROM,63.87,1595.54,19.47,0.36
Wagner,Marie,peter.hartmann@test.com,56,GAS,86.3,4076.99,20.85,0.3
Wagner,Marie,peter.hartmann@test.com,56,STROM,73.82,2428.58,24.14,0.47
Thomas,Lea,wolfgang.lisa@domain.com,26,STROM,173.49,3111.61,8.47,0.28
Wagner,Laura,,84,GAS,96.26,2660.15,30.92,0.39
Wagner,Laura,,84,STROM,195.19,1492.58,26.56,0.26
Schmidt,Böhm,schmidt.emma@test.com,41,STROM,60.43,4269.58,46.05,0.27
Müller,Schröder,müller.emma@test.com,88,GAS,91.75,2637.87,39.13,0.32
Müller,Schröder,müller.emma@test.com,88,STROM,96.71,3397.22,29.02,0.46
Becker,Lenz,meyer.emma@test.com,27,GAS,98.83,4718.72,37.17,0.29
Klaus,Krüger,peter.schröder@domain.com,58,GAS,167.73,4992.68,27.59,0.48
Weber,Maier,sarah.lisa@example.com,71,GAS,114.67,2562.52,32.33,0.33
Becker,Zimmermann,daniel.walter@domain.com,77,STROM,187.63,2248.02,28.21,0.2
Becker,Zimmermann,daniel.walter@domain.com,77,STROM,63.19,4894.73,13.4,0.25
Michael,Schröder,müller.emma@example.com,33,GAS,31.23,2185.49,42.76,0.26
Michael,Sophie,müller.walter@domain.com,44,GAS,155.58,2074.75,8.13,0.43
Michael,Sophie,müller.walter@domain.com,44,GAS,132.5,3444.58,43.03,0.41
Becker,Böhm,wolfgang.lea@test.com,37,STROM,155.66,1326.49,20.54,0.27
Becker,Böhm,wolfgang.lea@test.com,37,STROM,94.96,4661.16,48.0,0.41
Becker,Böhm,wolfgang.lea@test.com,37,STROM,50.95,2677.02,6.94,0.38
Wagner,Lisa,schneider.lena@domain.com,67,GAS,146.36,4954.68,22.38,0.29
Wagner,Lisa,schneider.lena@domain.com,67,GAS,49.96,1342.01,16.1,0.47
Wagner,Lisa,schneider.lena@domain.com,67,GAS,40.69,3578.27,17.16,0.31
Michael,Zimmermann,sarah.walter@test.com,58,STROM,41.13,1268.21,20.44,0.44
Michael,Zimmermann,sarah.walter@test.com,58,STROM,51.8,2445.87,6.22,0.49
Weber,Schröder,,59,STROM,171.8,4275.49,19.8,0.45
Weber,Schröder,,59,STROM,36.49,4503.57,39.39,0.26
Weber,Schröder,,59,GAS,156.36,2440.53,13.16,0.35
Peter,Schröder,fischer.hartmann@test.com,19,GAS,33.33,1105.8,20.95,0.34
Peter,Schröder,fischer.hartmann@test.com,19,STROM,166.61,2931.6,41.27,0.36
Thomas,Walter,meyer.lenz@test.com,50,GAS,103.39,4527.14,41.12,0.5
Thomas,Walter,meyer.lenz@test.com,50,GAS,22.17,1529.8,5.61,0.31
Michael,Lena,fischer.sophie@domain.com,64,GAS,155.49,1019.44,8.21,0.39
Hoffmann,Neumann,weber.sophie@test.com,84,STROM,160.52,2754.82,35.87,0.22
Hoffmann,Neumann,weber.sophie@test.com,84,STROM,51.64,4189.6,16.19,0.3
Hoffmann,Neumann,weber.sophie@test.com,84,GAS,76.18,1778.91,29.38,0.3
Wagner,Böhm,fischer.schröder@example.com,36,GAS,113.93,2573.49,10.4,0.25
Peter,Schröder,becker.lenz@example.com,61,STROM,154.09,1395.66,17.69,0.41
Christine,Laura,müller.krüger@domain.com,58,GAS,159.11,2101.46,33.96,0.24
Schneider,Klein,andreas.walter@domain.com,77,GAS,194.29,1260.75,22.45,0.28
Thomas,Anna,wolfgang.lena@test.com,80,STROM,96.22,4405.35,13.02,0.23
Thomas,Anna,wolfgang.lena@test.com,80,GAS,80.85,3429.19,6.19,0.34
Daniel,Laura,andreas.schröder@example.com,37,GAS,67.43,1867.15,39.88,0.22
Schulz,Schröder,becker.mia@domain.com,73,STROM,146.72,4740.22,48.48,0.45
Schulz,Schröder,becker.mia@domain.com,73,GAS,163.89,2031.02,12.44,0.35
Schulz,Schröder,becker.mia@domain.com,73,STROM,138.92,4322.06,22.16,0.31
Wolfgang,Lea,andreas.hartmann@domain.com,76,STROM,154.49,4426.67,12.47,0.3
Wolfgang,Lea,andreas.hartmann@domain.com,76,GAS,125.95,2010.91,45.69,0.4
Peter,Laura,meyer.laura@domain.com,54,GAS,120.06,2423.26,32.24,0.32
Michael,Anna,peter.maier@example.com,32,GAS,171.07,1523.9,17.23,0.21
Becker,Anna,peter.julia@domain.com,37,GAS,163.02,3214.5,6.5,0.5
Becker,Anna,peter.julia@domain.com,37,GAS,75.16,3587.09,28.31,0.34
Becker,Anna,peter.julia@domain.com,37,GAS,196.39,1292.69,47.79,0.26
Fischer,Zimmermann,schneider.hartmann@domain.com,78,GAS,168.29,2031.07,30.19,0.5
Weber,Walter,andreas.emma@domain.com,60,GAS,125.32,3548.04,25.85,0.29
Peter,Walter,becker.laura@test.com,78,GAS,125.48,2351.01,20.25,0.32
Peter,Walter,becker.laura@test.com,78,STROM,25.46,2346.98,30.83,0.48
Peter,Hartmann,fischer.laura@example.com,60,GAS,106.06,2694.89,9.36,0.25
Klaus,Laura,katharina.lisa@example.com,38,STROM,181.04,2725.51,18.46,0.36
Schulz,Anna,schulz.laura@domain.com,22,STROM,176.77,3844.12,5.96,0.2
Schulz,Anna,schulz.laura@domain.com,22,STROM,162.68,3342.86,15.54,0.26
Peter,Klein,schmidt.lisa@test.com,22,GAS,105.75,1733.7,24.51,0.44
Peter,Klein,schmidt.lisa@test.com,22,STROM,147.11,2070.77,39.61,0.34
Peter,Klein,schmidt.lisa@test.com,22,STROM,31.23,3392.86,11.8,0.3
Schulz,Maier,wagner.laura@test.com,75,STROM,37.46,3192.3,13.58,0.27
Hoffmann,Schröder,becker.julia@domain.com,55,STROM,149.61,4231.4,45.1,0.4
Becker,Zimmermann,becker.lea@test.com,25,GAS,164.75,4426.68,12.52,0.3
Becker,Zimmermann,becker.lea@test.com,25,STROM,114.97,2022.28,38.67,0.44
Wolfgang,Emma,,31,STROM,74.47,4564.35,22.08,0.24
Wolfgang,Emma,,31,STROM,67.65,4549.1,21.94,0.46
Wolfgang,Emma,,31,STROM,93.07,3330.0,45.8,0.31
Katharina,Anna,schneider.lea@test.com,72,GAS,45.47,2105.69,34.48,0.31
Katharina,Anna,schneider.lea@test.com,72,GAS,122.87,1225.49,6.71,0.33
Katharina,Klein,fischer.lenz@domain.com,86,GAS,127.74,4960.12,25.18,0.45
Katharina,Klein,fischer.lenz@domain.com,86,GAS,30.56,1903.02,38.87,0.45
Wagner,Walter,michael.anna@test.com,76,STROM,70.44,4758.86,10.51,0.46
Wagner,Walter,michael.anna@test.com,76,GAS,55.5,2391.08,45.89,0.37
Wagner,Walter,michael.anna@test.com,76,GAS,167.33,3718.04,28.89,0.47
Michael,Lea,müller.böhm@test.com,23,STROM,194.9,1077.91,42.74,0.38
Michael,Lea,müller.böhm@test.com,23,STROM,102.55,2808.93,46.07,0.32
Hoffmann,Neumann,thomas.emma@domain.com,68,GAS,142.47,1706.68,28.06,0.28
Schulz,Maier,,38,STROM,142.62,2295.73,11.24,0.34
Schulz,Maier,,38,STROM,152.45,1897.08,9.85,0.3
Schulz,Maier,,38,GAS,124.14,4126.08,38.18,0.45
Schmidt,Lenz,katharina.lea@example.com,71,GAS,108.59,2235.01,6.98,0.33
Schmidt,Lenz,katharina.lea@example.com,71,STROM,57.16,3415.26,12.89,0.3
Schmidt,Lenz,katharina.lea@example.com,71,GAS,32.47,3429.29,35.58,0.21
Schmidt,Walter,müller.marie@example.com,32,STROM,119.04,4852.72,48.37,0.34
Wolfgang,Lisa,klaus.lea@domain.com,31,STROM,196.51,3338.72,11.31,0.25
Wolfgang,Lisa,klaus.lea@domain.com,31,GAS,47.18,4654.25,48.43,0.24
Christine,Neumann,,70,GAS,118.95,3273.76,43.28,0.25
Christine,Neumann,,70,STROM,178.31,1416.98,17.86,0.49
Christine,Neumann,,70,STROM,87.03,2559.2,40.48,0.44
Weber,Lena,weber.lena@example.com,47,STROM,162.02,3499.87,34.76,0.37
Weber,Lena,weber.lena@example.com,47,STROM,113.53,1775.07,10.98,0.34
Weber,Lena,weber.lena@example.com,47,GAS,142.5,4851.44,10.63,0.31
Wolfgang,Klein,daniel.lena@test.com,82,STROM,146.05,3802.3,20.78,0.26
Müller,Klein,klaus.laura@domain.com,38,STROM,192.21,4486.54,15.22,0.23
Hoffmann,Schröder,wolfgang.lenz@example.com,32,STROM,158.43,2530.89,33.46,0.28
Hoffmann,Schröder,wolfgang.lenz@example.com,32,GAS,119.26,3371.56,32.55,0.48
Fischer,Emma,klaus.marie@domain.com,90,STROM,179.74,4393.18,12.59,0.35
Fischer,Emma,klaus.marie@domain.com,90,GAS,178.36,4296.89,44.21,0.24
Katharina,Lena,meyer.emma@test.com,82,GAS,47.5,3667.26,42.2,0.35
Katharina,Lena,meyer.emma@test.com,82,STROM,164.58,2689.54,12.35,0.24
Katharina,Lena,meyer.emma@test.com,82,STROM,110.71,1523.5,42.45,0.41
Christine,Zimmermann,sarah.krüger@example.com,65,GAS,188.29,3307.26,30.56,0.44
Christine,Zimmermann,sarah.krüger@example.com,65,STROM,186.35,3455.8,41.57,0.37
Christine,Zimmermann,sarah.krüger@example.com,65,STROM,118.56,3476.26,45.21,0.39
Schulz,Lenz,schmidt.julia@domain.com,69,STROM,69.46,4051.93,34.66,0.47
Schulz,Lenz,schmidt.julia@domain.com,69,STROM,183.35,1199.09,40.06,0.36
Schulz,Lenz,schmidt.julia@domain.com,69,STROM,110.78,1583.46,39.22,0.28
Andreas,Lea,meyer.anna@example.com,18,STROM,167.06,3606.46,33.51,0.46
Andreas,Lea,meyer.anna@example.com,18,STROM,134.66,2547.5,8.02,0.42
Andreas,Lea,meyer.anna@example.com,18,GAS,38.2,4042.9,46.14,0.41
Schulz,Emma,peter.neumann@test.com,88,GAS,183.44,2830.8,39.64,0.28
Schulz,Emma,peter.neumann@test.com,88,GAS,136.54,4394.14,6.77,0.44
Schulz,Emma,peter.neumann@test.com,88,GAS,181.36,1440.24,42.63,0.33
Fischer,Walter,andreas.walter@domain.com,90,STROM,46.54,2043.55,13.17,0.38
Müller,Emma,schmidt.maier@test.com,58,STROM,152.93,3806.64,17.56,0.31
Weber,Klein,meyer.mia@domain.com,62,GAS,46.24,4996.17,35.29,0.29
Weber,Klein,meyer.mia@domain.com,62,STROM,99.28,2235.74,47.57,0.23
Weber,Klein,meyer.mia@domain.com,62,GAS,158.56,4726.15,5.53,0.36
Katharina,Zimmermann,fischer.mia@test.com,35,STROM,35.99,2747.44,20.45,0.21
Katharina,Zimmermann,fischer.mia@test.com,35,STROM,104.79,3080.13,48.8,0.47
Schneider,Neumann,peter.maier@test.com,47,STROM,96.96,2799.44,21.95,0.36
Schneider,Neumann,peter.maier@test.com,47,STROM,160.56,2945.65,10.07,0.35
Hoffmann,Krüger,weber.hartmann@test.com,27,STROM,173.04,3352.91,22.66,0.47
Hoffmann,Krüger,weber.hartmann@test.com,27,STROM,81.68,3326.74,29.41,0.32
Hoffmann,Krüger,weber.hartmann@test.com,27,STROM,45.23,1740.2,20.21,0.36
Meyer,Laura,,73,GAS,153.4,4638.67,15.71,0.35
Thomas,Krüger,wolfgang.julia@test.com,84,GAS,48.42,1253.19,45.05,0.42
Thomas,Krüger,wolfgang.julia@test.com,84,GAS,169.02,3119.27,47.21,0.37
Thomas,Krüger,wolfgang.julia@test.com,84,GAS,45.29,1128.53,37.23,0.41
Fischer,Krüger,meyer.walter@domain.com,72,STROM,86.75,4773.42,30.19,0.3
Meyer,Maier,,73,STROM,46.65,4878.73,17.39,0.32
Meyer,Maier,,73,GAS,57.78,3186.94,7.13,0.29
Katharina,Laura,weber.lena@test.com,42,STROM,53.94,2014.67,6.8,0.41
Katharina,Laura,weber.lena@test.com,42,GAS,42.77,2989.02,21.55,0.48
Katharina,Laura,weber.lena@test.com,42,STROM,192.72,3002.1,11.38,0.45
Wagner,Lisa,weber.laura@test.com,24,GAS,42.15,1698.14,38.89,0.45
Schmidt,Mia,,41,STROM,123.34,1818.13,31.45,0.36
Fischer,Böhm,wolfgang.lenz@example.com,89,STROM,130.36,2615.53,49.68,0.5
Fischer,Böhm,wolfgang.lenz@example.com,89,STROM,62.16,4878.82,19.6,0.28
Fischer,Böhm,wolfgang.lenz@example.com,89,STROM,91.51,2149.79,33.77,0.36
Michael,Walter,thomas.lisa@domain.com,72,STROM,170.02,4527.89,26.85,0.24
Müller,Zimmermann,becker.walter@test.com,74,GAS,31.19,3662.67,11.17,0.24
Müller,Zimmermann,becker.walter@test.com,74,STROM,191.23,3879.89,38.71,0.33
Meyer,Lisa,weber.schröder@example.com,62,STROM,20.86,3818.99,38.33,0.27
Meyer,Lisa,weber.schröder@example.com,62,STROM,150.82,3285.89,20.55,0.21
Fischer,Lena,wolfgang.marie@domain.com,86,STROM,29.35,4911.74,14.03,0.49
Fischer,Lena,wolfgang.marie@domain.com,86,STROM,142.6,4116.18,42.87,0.41
Andreas,Lenz,daniel.schröder@domain.com,34,GAS,51.2,1560.5,24.55,0.48
Weber,Walter,schneider.emma@example.com,44,GAS,158.51,4234.1,13.92,0.42
Weber,Walter,schneider.emma@example.com,44,GAS,59.04,4976.77,38.96,0.34
Wagner,Neumann,schneider.hartmann@example.com,61,STROM,146.53,3400.5,12.09,0.21
Wagner,Neumann,schneider.hartmann@example.com,61,GAS,145.13,2538.61,41.99,0.46
Becker,Walter,schmidt.marie@domain.com,60,GAS,84.78,4248.12,9.54,0.46
Becker,Walter,schmidt.marie@domain.com,60,GAS,64.05,1405.27,36.6,0.44
Becker,Walter,schmidt.marie@domain.com,60,STROM,44.86,4972.57,44.26,0.36
Schulz,Sophie,meyer.emma@example.com,83,GAS,124.28,4087.66,42.95,0.28
Schulz,Sophie,meyer.emma@example.com,83,GAS,135.87,4515.94,22.07,0.28
Michael,Klein,sarah.neumann@domain.com,62,STROM,90.91,3474.68,24.31,0.26
Michael,Klein,sarah.neumann@domain.com,62,STROM,21.84,3926.82,36.41,0.49
Becker,Marie,christine.lea@test.com,71,GAS,191.88,4508.15,20.1,0.26
Becker,Marie,christine.lea@test.com,71,STROM,65.62,4158.77,48.21,0.35
Hoffmann,Böhm,andreas.lisa@example.com,38,GAS,63.08,4001.0,34.22,0.2
Hoffmann,Böhm,andreas.lisa@example.com,38,GAS,140.77,1924.24,18.68,0.25
Hoffmann,Böhm,andreas.lisa@example.com,38,STROM,147.03,1401.76,19.74,0.39
Fischer,Lisa,becker.schröder@test.com,57,STROM,102.96,1877.88,49.7,0.22
Fischer,Lisa,becker.schröder@test.com,57,GAS,89.25,1970.76,22.29,0.37
Fischer,Lisa,becker.schröder@test.com,57,GAS,149.16,3673.5,18.61,0.5
Hoffmann,Laura,wolfgang.anna@test.com,42,GAS,118.96,4146.65,5.23,0.23
Hoffmann,Laura,wolfgang.anna@test.com,42,STROM,45.02,4122.3,27.74,0.42
Schulz,Sophie,michael.marie@example.com,34,GAS,194.72,4697.09,43.91,0.47
Schulz,Sophie,michael.marie@example.com,34,GAS,107.34,2196.34,45.7,0.26
Meyer,Maier,klaus.marie@example.com,55,GAS,102.04,3868.1,26.77,0.47
Meyer,Maier,klaus.marie@example.com,55,GAS,44.32,1430.02,15.92,0.3
Meyer,Maier,klaus.marie@example.com,55,STROM,59.28,1062.4,17.7,0.38
Klaus,Walter,schmidt.maier@domain.com,20,STROM,141.52,3176.85,39.95,0.32
Klaus,Walter,schmidt.maier@domain.com,20,STROM,140.77,2451.47,7.14,0.46
Andreas,Hartmann,peter.böhm@domain.com,31,GAS,113.07,2146.48,33.78,0.29
Andreas,Hartmann,peter.böhm@domain.com,31,GAS,82.23,1743.37,21.51,0.22
Andreas,Hartmann,peter.böhm@domain.com,31,GAS,50.42,3933.59,48.12,0.35
Weber,Hartmann,schmidt.zimmermann@example.com,47,GAS,72.64,2138.79,15.98,0.26
Weber,Hartmann,schmidt.zimmermann@example.com,47,STROM,86.58,2739.94,33.06,0.27
Becker,Walter,schneider.lenz@domain.com,77,STROM,147.61,4422.95,43.37,0.25
Becker,Walter,schneider.lenz@domain.com,77,GAS,124.89,2894.94,19.28,0.48
Becker,Walter,schneider.lenz@domain.com,77,STROM,173.4,2216.01,41.88,0.3
Schneider,Marie,katharina.emma@domain.com,37,STROM,122.94,4435.14,8.46,0.39
Schneider,Marie,katharina.emma@domain.com,37,GAS,134.22,4050.63,25.26,0.25
Schneider,Marie,katharina.emma@domain.com,37,GAS,57.61,2295.78,16.88,0.49
Schmidt,Lisa,becker.neumann@example.com,69,GAS,23.74,4257.65,46.12,0.41
Schmidt,Lisa,becker.neumann@example.com,69,GAS,89.43,3237.42,33.79,0.31
Schmidt,Lisa,becker.neumann@example.com,69,GAS,89.69,3065.44,44.62,0.41
Wolfgang,Böhm,hoffmann.lisa@test.com,54,STROM,28.46,2731.31,15.91,0.31
Wolfgang,Böhm,hoffmann.lisa@test.com,54,GAS,68.65,2161.49,16.5,0.42
Wolfgang,Böhm,hoffmann.lisa@test.com,54,STROM,105.68,3681.15,7.58,0.28
Fischer,Hartmann,schmidt.lena@test.com,26,STROM,104.99,2233.38,30.45,0.3
Wolfgang,Maier,christine.sophie@test.com,35,GAS,193.94,2790.71,20.65,0.39
Schmidt,Walter,sarah.sophie@example.com,63,GAS,76.93,4049.38,41.17,0.41
Fischer,Hartmann,klaus.walter@domain.com,55,STROM,113.86,2821.0,48.42,0.5
Fischer,Hartmann,klaus.walter@domain.com,55,STROM,178.68,4983.69,27.5,0.26
Sarah,Walter,wagner.klein@example.com,74,GAS,185.56,2773.51,29.97,0.48
Sarah,Walter,wagner.klein@example.com,74,GAS,186.56,4919.82,39.12,0.33
Sarah,Walter,wagner.klein@example.com,74,GAS,172.16,4835.01,13.31,0.33
Andreas,Neumann,sarah.mia@test.com,39,GAS,61.92,2642.17,13.63,0.27
Andreas,Neumann,sarah.mia@test.com,39,STROM,73.68,3710.41,14.98,0.3
Christine,Mia,weber.maier@example.com,32,GAS,70.22,4440.4,22.96,0.32
Katharina,Sophie,weber.lena@test.com,46,STROM,152.48,4426.02,25.29,0.28
Katharina,Sophie,weber.lena@test.com,46,STROM,21.52,2804.9,24.21,0.26
Thomas,Böhm,hoffmann.zimmermann@domain.com,44,STROM,50.02,1022.39,22.1,0.45
Thomas,Böhm,hoffmann.zimmermann@domain.com,44,STROM,45.82,2442.98,17.96,0.3
Thomas,Böhm,hoffmann.zimmermann@domain.com,44,GAS,146.67,3508.77,46.07,0.46
Wagner,Hartmann,schneider.marie@test.com,20,GAS,131.5,1317.77,18.52,0.32
Wagner,Hartmann,schneider.marie@test.com,20,STROM,166.24,2869.22,35.1,0.43
Wagner,Hartmann,schneider.marie@test.com,20,STROM,65.29,4815.83,18.22,0.44
Sarah,Neumann,thomas.sophie@example.com,53,GAS,82.94,4058.54,5.33,0.5
Sarah,Neumann,thomas.sophie@example.com,53,GAS,62.94,2594.17,47.29,0.23
Wolfgang,Hartmann,thomas.krüger@domain.com,82,GAS,39.31,3698.58,47.4,0.44
Klaus,Schröder,thomas.mia@example.com,20,STROM,130.69,4597.8,10.79,0.35
Klaus,Schröder,thomas.mia@example.com,20,GAS,157.09,1416.11,16.72,0.24
Michael,Laura,wagner.hartmann@example.com,66,STROM,90.44,4246.15,12.59,0.42
Michael,Laura,wagner.hartmann@example.com,66,STROM,118.52,1149.7,22.52,0.25
Schulz,Hartmann,becker.zimmermann@test.com,80,GAS,64.6,2985.91,37.37,0.33
Schulz,Hartmann,becker.zimmermann@test.com,80,GAS,133.34,3250.89,9.31,0.24
Schulz,Hartmann,becker.zimmermann@test.com,80,STROM,148.09,4945.98,35.71,0.38
Weber,Maier,,77,GAS,180.86,4142.71,15.52,0.48
Weber,Maier,,77,GAS,22.96,1405.44,46.19,0.37
Klaus,Lisa,peter.emma@test.com,78,GAS,100.13,3582.75,23.38,0.49
Weber,Klein,andreas.emma@test.com,33,GAS,30.13,2400.63,38.67,0.42
Weber,Klein,andreas.emma@test.com,33,GAS,156.52,2296.19,5.39,0.5
Weber,Klein,andreas.emma@test.com,33,STROM,29.03,1179.24,37.1,0.4
Wolfgang,Laura,thomas.hartmann@test.com,38,GAS,45.2,3229.57,36.88,0.41
Wolfgang,Laura,thomas.hartmann@test.com,38,STROM,56.06,1742.06,15.15,0.3
Wolfgang,Laura,thomas.hartmann@test.com,38,STROM,147.17,4219.12,9.89,0.3
Katharina,Schröder,fischer.klein@domain.com,88,STROM,158.89,2902.49,10.43,0.49
Katharina,Schröder,fischer.klein@domain.com,88,GAS,42.71,1475.71,45.94,0.37
Katharina,Schröder,fischer.klein@domain.com,88,STROM,59.54,3387.41,8.11,0.21
Becker,Zimmermann,wagner.hartmann@example.com,54,GAS,76.82,4661.91,16.0,0.45
Becker,Zimmermann,wagner.hartmann@example.com,54,GAS,126.09,2124.34,44.25,0.44
Schneider,Zimmermann,fischer.zimmermann@example.com,73,GAS,95.32,3516.71,22.6,0.48
Schneider,Zimmermann,fischer.zimmermann@example.com,73,GAS,190.36,4184.82,28.89,0.2
Katharina,Schröder,weber.lisa@example.com,33,GAS,149.59,2359.47,22.9,0.41
Weber,Zimmermann,müller.klein@domain.com,37,STROM,90.08,4417.48,46.92,0.31
Weber,Zimmermann,müller.klein@domain.com,37,STROM,108.55,3293.28,26.9,0.3
Weber,Zimmermann,müller.klein@domain.com,37,STROM,52.0,3030.81,11.08,0.45
Fischer,Marie,,43,STROM,125.82,1149.02,30.87,0.22
Fischer,Marie,,43,STROM,100.82,3745.82,24.2,0.42
Fischer,Marie,,43,GAS,160.9,2780.46,7.97,0.5
Sarah,Neumann,klaus.krüger@test.com,40,STROM,175.44,1392.89,32.37,0.35
Michael,Emma,andreas.julia@test.com,28,GAS,142.8,2218.71,34.79,0.33
